n,search_params,params,build_ndc,build_ms,recall_mean,ndc_mean,time_ms_mean
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1598261,150.480999,0.831,546.260,0.067
5000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1473420,153.800896,0.851,513.067,0.072
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1598261,146.126596,0.831,546.260,0.066
5000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1473420,148.493519,0.851,513.067,0.067
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1598261,149.456595,0.831,546.260,0.062
5000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1473420,151.194097,0.851,513.067,0.068
10000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",3576250,387.51356300000003,0.797,590.853,0.096
10000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",3322705,400.501647,0.823,563.183,0.099
10200,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",3655063,387.48316700000004,0.799,591.630,0.095
10200,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",3397592,396.975217,0.820,562.203,0.099
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 46, m_max: 40, m_max_0: 40, distance: Dot }",3599409,415.218325,0.963,926.380,0.119
5000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 46, m_max: 46, m_max_0: 46, distance: Dot }",3615593,481.94451,0.970,938.753,0.137
10000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 46, m_max: 40, m_max_0: 40, distance: Dot }",8604479,1221.2715,0.953,1024.030,0.188
10000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 46, m_max: 46, m_max_0: 46, distance: Dot }",8772066,1405.530415,0.966,1067.163,0.212
10200,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 46, m_max: 40, m_max_0: 40, distance: Dot }",8807492,1259.363509,0.954,1027.947,0.195
10200,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 46, m_max: 46, m_max_0: 46, distance: Dot }",8984409,1404.8527390000002,0.966,1071.383,0.212
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 46, m_max: 40, m_max_0: 40, distance: Dot }",3599409,369.724813,0.963,926.380,0.110
5000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 46, m_max: 40, m_max_0: 40, distance: Dot }",3341503,416.666558,0.964,856.083,0.114
