inserted id: 650, insert_level: 0, idx_at_insert_level: 650 top_level: 7
inserted id: 7523, insert_level: 0, idx_at_insert_level: 7523 top_level: 7
inserted id: 22, insert_level: 0, idx_at_insert_level: 22 top_level: 7
inserted id: 960, insert_level: 0, idx_at_insert_level: 960 top_level: 7
inserted id: 651, insert_level: 0, idx_at_insert_level: 651 top_level: 7
inserted id: 1118, insert_level: 0, idx_at_insert_level: 1118 top_level: 7
inserted id: 1268, insert_level: 0, idx_at_insert_level: 1268 top_level: 7
inserted id: 338, insert_level: 1, idx_at_insert_level: 88 top_level: 7
inserted id: 801, insert_level: 1, idx_at_insert_level: 217 top_level: 7
inserted id: 8780, insert_level: 0, idx_at_insert_level: 8780 top_level: 5
inserted id: 7524, insert_level: 1, idx_at_insert_level: 2148 top_level: 7
